Run,Env,PET_Abundance.x,MHET_Abundance.x,Bioproject,Biosample,Source,Location,Latitude,Longtitude
ERR5762228,bog,0.958686441,1.098592207,PRJEB44414,SAMEA8585647,soil metagenome,Morocco,35.1866,-5.3622
ERR5766670,bog,1.368565126,4.824236065,PRJEB44414,SAMEA8585688,soil metagenome,USA,45.582581,-111.661221
ERR5766671,bog,1.051469197,7.732924581,PRJEB44414,SAMEA8585689,soil metagenome,USA,45.582581,-111.661221
ERR5766672,bog,1.225549542,4.127045639,PRJEB44414,SAMEA8585690,soil metagenome,USA,45.582581,-111.661221
ERR5766673,bog,0.708751541,3.495040285,PRJEB44414,SAMEA8585691,soil metagenome,USA,45.524884,-111.018086
ERR5766674,bog,0.319742793,4.408174775,PRJEB44414,SAMEA8585692,soil metagenome,USA,45.524884,-111.018086
ERR5766676,bog,0.184970489,4.80451164,PRJEB44414,SAMEA8585693,soil metagenome,USA,45.524884,-111.018086
ERR5766914,bog,0.614334471,0.877620673,PRJEB44414,SAMEA8585714,soil metagenome,Morocco,35.1866,-5.3622
ERR9963794,bog,0.651474531,2.40633984,PRJEB54621,SAMEA110295448,moss metagenome,,64.1115,-20.561
ERR9963795,bog,0.25319629,1.930288969,PRJEB54621,SAMEA110295449,moss metagenome,,64.1122,-20.5608
SRR10072857,marinesediment,0.358252126,0.249967355,PRJNA563777,SAMN12687857,marine sediment metagenome,Singapore,1.471197,103.804527
SRR10072858,marinesediment,0.164653405,0.084678894,PRJNA563777,SAMN12687857,marine sediment metagenome,Singapore,1.471197,103.804527
SRR10072860,marinesediment,0.223908667,0.086364771,PRJNA563777,SAMN12687859,marine sediment metagenome,Singapore,1.4573,103.720583
SRR10095343,hotspring,1.364696734,0.433237058,PRJNA564648,SAMN12723038,hot springs metagenome,"Canada: Liard River, BC",59.431,-126.1
SRR10095351,hotspring,1.545226131,2.456259525,PRJNA564648,SAMN12723036,hot springs metagenome,"Canada: Liard River, BC",59.431,-126.1
SRR10127267,phyllosphere,0.06524943,0.066414598,PRJNA340604,SAMN05720239,plant metagenome,"Guanajuato, Mexico ",21.7658,-100.163
SRR10127271,phyllosphere,9.251214135,1.944750745,PRJNA340608,SAMN05720237,plant metagenome,"Guanajuato, Mexico ",21.7658,-100.163
SRR10143174,phyllosphere,0.96373672,0.144405234,PRJNA539159,SAMN11533378,plant metagenome,USA: Georgia,32.1348,-81.9657
SRR10156267,marinesediment,0.574229692,0.328131253,PRJNA573088,SAMN12799096,marine sediment metagenome,Antarctica: Amundsen Sea,-72.46,-104.36
SRR10241523,freshwater,0.307539683,0.153769841,PRJNA575023,,,,38.124,176.2564
SRR10363839,landfill,5.069599816,2.754553431,PRJNA557318,SAMN12394951,soil metagenome,China: landfill cover,22.48,113.57
SRR10363840,landfill,7.25164646,4.155687186,PRJNA557318,SAMN12394950,soil metagenome,China: landfill cover,22.48,113.57
SRR10363841,landfill,4.849862562,2.039348842,PRJNA557318,SAMN12394949,soil metagenome,China: landfill cover,22.48,113.57
SRR10363842,landfill,8.833265138,2.281910245,PRJNA557318,SAMN12394948,soil metagenome,China: landfill cover,22.48,113.57
SRR10363843,landfill,6.032566557,1.901902727,PRJNA557318,SAMN12394947,soil metagenome,China: landfill cover,22.48,113.57
SRR10363844,landfill,14.35613934,0.795941933,PRJNA557318,SAMN12394946,soil metagenome,China: landfill cover,22.48,113.57
SRR10363845,landfill,12.59027811,1.413595751,PRJNA557318,SAMN12394945,soil metagenome,China: landfill cover,22.48,113.57
SRR10363846,landfill,11.59236733,1.006091326,PRJNA557318,SAMN12394944,soil metagenome,China: landfill cover,22.48,113.57
SRR10363847,landfill,6.025723302,1.685608125,PRJNA557318,SAMN12394956,soil metagenome,China: landfill cover,22.48,113.57
SRR10363848,landfill,3.845429806,1.783456746,PRJNA557318,SAMN12394955,soil metagenome,China: landfill cover,22.48,113.57
SRR10363849,landfill,6.220970397,2.504668079,PRJNA557318,SAMN12394954,soil metagenome,China: landfill cover,22.48,113.57
SRR10363850,landfill,1.996844966,3.1780696,PRJNA557318,SAMN12394953,soil metagenome,China: landfill cover,22.48,113.57
SRR10363851,landfill,5.566063041,2.993094839,PRJNA557318,SAMN12394952,soil metagenome,China: landfill cover,22.48,113.57
SRR10363852,landfill,10.8517575,1.222332592,PRJNA557318,SAMN12394943,soil metagenome,China: landfill cover,22.48,113.57
SRR10363853,landfill,17.14832869,0.125023129,PRJNA557318,SAMN12394942,soil metagenome,China: landfill cover,22.48,113.57
SRR10375808,wetland,0.433637989,0.234629126,PRJNA365341,SAMN06264690,soil metagenome,"USA:South San Francisco, USA",37.4965,-122.133
SRR10586133,compost,2.74128627,0.350697604,PRJNA593573,SAMN13482110,compost metagenome,"Singapore: Lim Chu Kang Farm Area, Singapore",1.42,103.7
SRR10586137,compost,0.813223938,2.323496966,PRJNA593573,SAMN13482098,compost metagenome,"Singapore: Lim Chu Kang Farm Area, Singapore",1.42,103.7
SRR10968147,wetland,0.750332557,1.933082291,PRJNA567103,SAMN12794342,peat metagenome,USA: Alaska,64.9141,-147.8348
SRR10968148,wetland,0.570564322,2.120433781,PRJNA567104,SAMN12794341,peat metagenome,USA: Alaska,64.9142,-147.835
SRR10968149,wetland,0.139531521,1.694311328,PRJNA567117,SAMN12793968,peat metagenome,USA: Alaska,64.9141,-147.8344
SRR10968151,wetland,5.356398667,4.200691745,PRJNA567120,SAMN12793952,peat metagenome,USA: Alaska,64.9141,-147.8348
SRR10968153,wetland,2.432685269,2.778589574,PRJNA567123,SAMN12794187,peat metagenome,USA: Alaska,64.9141,-147.834
SRR10968155,wetland,1.075247525,5.89078655,PRJNA567121,SAMN12793951,peat metagenome,USA: Alaska,64.9142,-147.835
SRR10968156,wetland,0.584140436,7.605594703,PRJNA567122,SAMN12793976,peat metagenome,USA: Alaska,64.9141,-147.8344
SRR10968158,wetland,3.855966631,4.535901107,PRJNA567124,SAMN12794090,peat metagenome,USA: Alaska,64.9142,-147.8349
SRR10968211,wetland,0.19595227,2.351879548,PRJNA567022,SAMN12794027,peat metagenome,USA: Alaska,64.9096,-147.9451
SRR10968218,wetland,0.920638489,1.260160703,PRJNA567023,SAMN12794181,peat metagenome,USA: Alaska,64.9149,-147.8357
SRR10968219,wetland,1.246700106,3.648774509,PRJNA567127,SAMN12793948,peat metagenome,USA: Alaska,64.9141,-147.8344
SRR10968221,wetland,0.283662716,1.305698688,PRJNA567126,SAMN12794030,peat metagenome,USA: Alaska,64.9142,-147.835
SRR10968222,wetland,0.5488512,2.650793165,PRJNA567129,SAMN12793978,peat metagenome,USA: Alaska,64.9142,-147.8349
SRR10968223,wetland,2.557801236,2.206469335,PRJNA567017,SAMN12794404,peat metagenome,USA: Alaska,64.9144,-147.8354
SRR10968224,wetland,0.669346862,3.471194449,PRJNA567128,SAMN12794095,peat metagenome,USA: Alaska,64.9141,-147.834
SRR10968271,wetland,1.334030366,4.638966855,PRJNA567019,SAMN12794337,peat metagenome,USA: Alaska,64.9141,-147.8348
SRR10968272,wetland,0.472934818,4.522831581,PRJNA566912,SAMN12793967,peat metagenome,USA: Alaska,64.9141,-147.8344
SRR10968273,wetland,1.34912001,3.293984184,PRJNA566911,SAMN12794094,peat metagenome,USA: Alaska,64.9142,-147.835
SRR10968274,wetland,0.671611868,2.078064517,PRJNA566914,SAMN12794336,peat metagenome,USA: Alaska,64.9142,-147.8349
SRR10968275,wetland,0.580862216,1.796107159,PRJNA566915,SAMN12793953,peat metagenome,USA: Alaska,64.9144,-147.8354
SRR10968277,wetland,1.530775872,6.026906526,PRJNA566916,SAMN12794340,peat metagenome,USA: Alaska,64.9142,-147.835
SRR10968278,wetland,2.3489376,6.700232657,PRJNA566917,SAMN12794332,peat metagenome,USA: Alaska,64.9142,-147.835
SRR10968279,wetland,0.192987351,3.419820997,PRJNA566920,SAMN12794186,peat metagenome,USA: Alaska,64.9096,-147.9451
SRR10968280,wetland,0.215846807,3.104335739,PRJNA566919,SAMN12793950,peat metagenome,USA: Alaska,64.9141,-147.8344
SRR10968281,wetland,0.210766568,3.862889898,PRJNA566918,SAMN12793975,peat metagenome,USA: Alaska,64.9141,-147.8344
SRR11086756,landfill,228.7568322,0.371201585,PRJNA606662,SAMN14103087,landfill metagenome,"India:New Delhi, Okhla landfill site",28.5626,77.2914
SRR11128412,compost,19.35790851,2.013052709,PRJNA607213,SAMN14124373,rhizosphere metagenome,South Africa: MAFIKENG,-25.78,25.61
SRR11271801,Volcano,1.823104693,1.956833327,PRJNA602600,SAMN13908148,soil metagenome,Chile: Melipeuco,-38.83,-71.65
SRR11271802,Volcano,2.426829268,2.31126597,PRJNA602600,SAMN13908146,soil metagenome,Chile: Melipeuco,-38.83,-71.65
SRR11271803,Volcano,0.835062241,1.792631689,PRJNA602600,SAMN13908144,soil metagenome,Chile: Melipeuco,-38.57,-71.78
SRR11271805,Volcano,2.457555178,0.585132185,PRJNA602600,SAMN13908156,soil metagenome,Chile: Melipeuco,-38.82,-71.68
SRR11271808,Volcano,0.916856492,1.964692483,PRJNA602600,SAMN13908150,soil metagenome,Chile: Melipeuco,-38.83,-71.65
SRR11271809,Volcano,5.266903213,0.696227929,PRJNA602600,SAMN13908140,soil metagenome,Chile: Melipeuco,-38.57,-71.78
SRR11516662,landfill,4.155980892,2.074115044,PRJNA623998,SAMN14563491,air metagenome,China: Shanghai,30.4,120.51
SRR11516663,landfill,2.894591992,1.676870748,PRJNA623998,SAMN14563490,air metagenome,China: Shanghai,30.4,120.51
SRR11516664,landfill,1.4103804,5.326704545,PRJNA623998,SAMN14563489,air metagenome,China: Shanghai,30.4,120.51
SRR11516665,landfill,3.169811321,65.98382749,PRJNA623998,SAMN14563488,air metagenome,China: Shanghai,30.4,120.51
SRR11516666,landfill,5.020775623,3.78550543,PRJNA623998,SAMN14563487,air metagenome,China: Shanghai,30.4,120.51
SRR11516667,landfill,8.184060969,2.281653884,PRJNA623998,SAMN14563486,air metagenome,China: Shanghai,30.4,120.51
SRR1157609,bog,0.373111984,1.049472637,PRJNA221719,SAMN02364458,soil metagenome,"USA: MN, Marcell Experimental Forest",47.5062,-93.45426667
SRR11582169,Volcano,1.08722022,2.12007943,PRJNA627197,SAMN14653537,subsurface metagenome,"Costa Rica: Laguna Botos, CO2-fed lake on flank of Poas Volcano,",10.188962,-84.227388
SRR11734617,wetland,0.206566645,1.812268527,PRJNA629394,SAMN14775404,sediment metagenome,"China:Guangdong,Shenzhen,Futian Mangrove Nature Reserve,Constructed wetland system",22.53,113.99
SRR11734633,wetland,1.2523452,2.456556879,PRJNA629394,SAMN14775405,sediment metagenome,"China:Guangdong,Shenzhen,Futian Mangrove Nature Reserve,Constructed wetland system",22.53,113.99
SRR11734634,wetland,1.192419597,2.718105818,PRJNA629394,SAMN14775405,sediment metagenome,"China:Guangdong,Shenzhen,Futian Mangrove Nature Reserve,Constructed wetland system",22.53,113.99
SRR11734649,wetland,0.051484501,1.504126385,PRJNA629394,SAMN14775406,sediment metagenome,"China:Guangdong,Shenzhen,Futian Mangrove Nature Reserve,Constructed wetland system",22.53,113.99
SRR11734659,wetland,0.105955426,2.198952516,PRJNA629394,SAMN14775403,sediment metagenome,"China:Guangdong,Shenzhen,Futian Mangrove Nature Reserve,Constructed wetland system",22.53,113.99
SRR11734660,wetland,0.288982276,1.693274957,PRJNA629394,SAMN14775403,sediment metagenome,"China:Guangdong,Shenzhen,Futian Mangrove Nature Reserve,Constructed wetland system",22.53,113.99
SRR11837213,wetland,0.255558395,2.411254273,PRJNA618890,SAMN14512427,wetland metagenome,USA: North Carolina,35.8959,-76.1658
SRR11837214,wetland,0.16156916,1.593896957,PRJNA618891,SAMN14513307,wetland metagenome,USA: North Carolina,35.8956,-76.1658
SRR11837216,wetland,0.208877285,2.34614811,PRJNA618892,SAMN14513147,wetland metagenome,USA: North Carolina,35.8959,-76.1658
SRR11837300,wetland,0.148149794,1.817838157,PRJNA618893,SAMN14513136,wetland metagenome,USA: North Carolina,35.8956,-76.1658
SRR11837370,wetland,0.49161365,1.489459637,PRJNA618896,SAMN14513141,wetland metagenome,USA: North Carolina,35.8956,-76.1658
SRR11837388,wetland,0.222340606,1.300084337,PRJNA618898,SAMN14512977,wetland metagenome,USA: North Carolina,35.8959,-76.1658
SRR11837389,wetland,0.112663362,2.00876219,PRJNA618899,SAMN14513140,wetland metagenome,USA: North Carolina,35.8959,-76.1658
SRR11837390,wetland,0.096407186,1.517566304,PRJNA618900,SAMN14513134,wetland metagenome,USA: North Carolina,35.8956,-76.1658
SRR11837428,wetland,0.069516858,1.962435745,PRJNA618951,SAMN14512605,wetland metagenome,USA: North Carolina,35.8959,-76.1658
SRR11837467,wetland,0.509956289,1.636549404,PRJNA618955,SAMN14513135,wetland metagenome,USA: North Carolina,35.8956,-76.1658
SRR11837468,wetland,1.088457159,0.740600495,PRJNA618956,SAMN14512299,wetland metagenome,USA: North Carolina,35.8956,-76.1658
SRR11837469,wetland,0.43017869,1.33764235,PRJNA618957,SAMN14512087,wetland metagenome,USA: North Carolina,35.8959,-76.1658
SRR11837470,wetland,0.18767507,1.553357942,PRJNA618958,SAMN14512965,wetland metagenome,USA: North Carolina,35.8959,-76.1658
SRR11837471,wetland,0.406115624,1.572064431,PRJNA618959,SAMN14512660,wetland metagenome,USA: North Carolina,35.8956,-76.1658
SRR11837737,wetland,0.197174809,2.408118269,PRJNA618961,SAMN14513301,wetland metagenome,USA: North Carolina,35.8959,-76.1658
SRR11917416,Volcano,0.420506484,0.076043645,PRJNA636628,SAMN15091510,volcano metagenome,Ukraine: eastern Crimea,45.4261,36.478
SRR12418379,wetland,0.569290826,6.738908192,PRJNA656125,SAMN15772041,soil metagenome,Australia,-37.908647,145.139591
SRR12418381,wetland,2.0473644,0.479851031,PRJNA656125,SAMN15772039,soil metagenome,Australia,-37.908647,145.139591
SRR12418382,wetland,0.636248677,1.325958071,PRJNA656125,SAMN15772038,soil metagenome,Australia,-37.908647,145.139591
SRR12481295,landfill,1.941820283,1.196795358,PRJNA657696,SAMN15835500,metagenome,India: Gujarat,22.9828,72.565
SRR13001972,compost,14.53613918,0.609977024,PRJNA675135,SAMN16690188,metagenome,USA,42.45,-76.47
SRR13115019,compost,19.31633295,0.068928755,PRJNA382640,SAMN06859928,soil metagenome,Germany: Goettingen,51.6,-9.9
SRR13153334,marine,0.522197897,0.833651642,PRJNA681031,SAMN16930194,marine metagenome,USA: Chukchi Sea,71.32666667,-157.3145
SRR13153511,marine,2.638345272,1.901471597,PRJNA681031,SAMN16930056,marine metagenome,Arctic Ocean,75.639,-158.8061667
SRR13153521,marine,2.186409354,0.599253192,PRJNA681031,SAMN16930032,marine metagenome,USA: Chukchi Sea,74.322,-159.4448333
SRR13153550,marine,1.132867651,0.608909642,PRJNA681031,SAMN16930193,marine metagenome,USA: Chukchi Sea,71.32666667,-157.3145
SRR13452042,petroleum,0.026930804,0.229056883,PRJNA692099,SAMN17320291,marine sediment metagenome,Pacific Ocean: Mariana Trench,11.4037,142.363
SRR13492908,petroleum,0.038022235,0.579529854,PRJNA692099,SAMN17320294,marine sediment metagenome,Pacific Ocean: Mariana Trench,11.4037,142.363
SRR13816176,marine,0.468079742,0.388673357,PRJNA704702,SAMN18057478,marine metagenome,Antarctica,-77.619,165.419
SRR13816199,marine,1.723622,0.238536973,PRJNA704702,SAMN18057477,marine metagenome,Antarctica,-77.619,165.419
SRR13961592,wetland,0.29082774,1.595841461,PRJNA714430,SAMN18309518,wetland metagenome,China: Zoige wetland,33.9333,102.8667
SRR13961594,wetland,0.354253881,0.22708982,PRJNA714430,SAMN18309516,wetland metagenome,China: Zoige wetland,33.9333,102.8667
SRR14301300,compost,8.475986928,7.530241935,PRJNA723631,SAMN18824493,soil metagenome,Canada,43.01,-81.2
SRR14301304,compost,19.34105943,11.27047177,PRJNA723631,SAMN18824500,soil metagenome,Canada,43.01,-81.2
SRR14301308,compost,23.09722168,2.853881279,PRJNA723631,SAMN18824495,soil metagenome,Canada,43.01,-81.2
SRR14301316,compost,16.54093877,10.36669284,PRJNA723631,SAMN18824494,soil metagenome,Canada,43.01,-81.2
SRR14301319,compost,8.694760701,10.03107735,PRJNA723631,SAMN18824507,soil metagenome,Canada,43.01,-81.2
SRR14301320,compost,20.9281619,13.48763778,PRJNA723631,SAMN18824506,soil metagenome,Canada,43.01,-81.2
SRR14301321,compost,19.75451268,4.814723637,PRJNA723631,SAMN18824505,soil metagenome,Canada,43.01,-81.2
SRR14454002,wetland,0.132139476,3.171482506,PRJNA725617,SAMN18896307,root metagenome,China,39.98,116.39
SRR14454003,wetland,0.138639812,3.267938435,PRJNA725617,SAMN18896306,leaf metagenome,China,39.98,116.39
SRR14454005,wetland,0.117974767,1.685353807,PRJNA725617,SAMN18896304,sediment metagenome,China,39.98,116.39
SRR14454010,wetland,0.855311432,1.451030465,PRJNA725617,SAMN18896320,sediment metagenome,China,40,116.39
SRR14454011,wetland,1.526939878,2.745165144,PRJNA725617,SAMN18896319,root metagenome,China,40,116.39
SRR14454012,wetland,1.015428013,3.772857832,PRJNA725617,SAMN18896318,leaf metagenome,China,40,116.39
SRR14454013,wetland,0.537922016,1.054071326,PRJNA725617,SAMN18896300,sediment metagenome,China,39.98,116.39
SRR14454016,wetland,0.404459231,2.56868668,PRJNA725617,SAMN18896315,root metagenome,China,40,116.39
SRR14454017,wetland,0.172077794,3.290801322,PRJNA725617,SAMN18896314,leaf metagenome,China,40,116.39
SRR14454019,wetland,0.30340888,0.658918276,PRJNA725617,SAMN18896312,sediment metagenome,China,40,116.39
SRR14454020,wetland,0.704590435,2.749199489,PRJNA725617,SAMN18896311,root metagenome,China,40,116.39
SRR14454021,wetland,0.326310424,2.378288517,PRJNA725617,SAMN18896310,leaf metagenome,China,40,116.39
SRR14454024,wetland,0.487220138,4.658898388,PRJNA725617,SAMN18896299,root metagenome,China,39.98,116.39
SRR14454025,wetland,0.98593544,3.842356546,PRJNA725617,SAMN18896298,leaf metagenome,China,39.98,116.39
SRR14458710,rhizosphere,11.76748951,2.648721989,PRJNA435634,SAMN19044779,Sorghum bicolor,"USA: Parlier, CA",36.597906,-119.518373
SRR14458711,rhizosphere,11.90404775,2.792880511,PRJNA435634,SAMN19044778,Sorghum bicolor,"USA: Parlier, CA",36.597906,-119.518373
SRR14458714,rhizosphere,23.53091243,3.25316401,PRJNA435634,SAMN19044775,Sorghum bicolor,"USA: Parlier, CA",36.597906,-119.518373
SRR14458722,rhizosphere,22.51665031,6.751011283,PRJNA435634,SAMN19044774,Sorghum bicolor,"USA: Parlier, CA",36.597906,-119.518373
SRR14458741,rhizosphere,21.98454625,3.970925593,PRJNA435634,SAMN19044793,Sorghum bicolor,"USA: Parlier, CA",36.597906,-119.518373
SRR14458742,rhizosphere,16.26692926,3.705533597,PRJNA435634,SAMN19044792,Sorghum bicolor,"USA: Parlier, CA",36.597906,-119.518373
SRR14458743,rhizosphere,6.380987079,3.621372773,PRJNA435634,SAMN19044791,Sorghum bicolor,"USA: Parlier, CA",36.597906,-119.518373
SRR14458744,rhizosphere,28.75861648,1.662547832,PRJNA435634,SAMN19044772,Sorghum bicolor,"USA: Parlier, CA",36.597906,-119.518373
SRR14458745,rhizosphere,11.99906043,6.743969055,PRJNA435634,SAMN19044790,Sorghum bicolor,"USA: Parlier, CA",36.597906,-119.518373
SRR14458746,rhizosphere,13.366407,1.099466845,PRJNA435634,SAMN19044789,Sorghum bicolor,"USA: Parlier, CA",36.597906,-119.518373
SRR14458747,rhizosphere,33.1248299,3.927289048,PRJNA435634,SAMN19044788,Sorghum bicolor,"USA: Parlier, CA",36.597906,-119.518373
SRR14458748,rhizosphere,11.6737427,3.168630017,PRJNA435634,SAMN19044787,Sorghum bicolor,"USA: Parlier, CA",36.597906,-119.518373
SRR14458749,rhizosphere,19.3930637,3.551347236,PRJNA435634,SAMN19044786,Sorghum bicolor,"USA: Parlier, CA",36.597906,-119.518373
SRR14458750,rhizosphere,23.46840885,2.303624966,PRJNA435634,SAMN19044784,Sorghum bicolor,"USA: Parlier, CA",36.597906,-119.518373
SRR14458751,rhizosphere,29.33343637,5.432389708,PRJNA435634,SAMN19044783,Sorghum bicolor,"USA: Parlier, CA",36.597906,-119.518373
SRR14458752,rhizosphere,17.66448566,11.38958266,PRJNA435634,SAMN19044782,Sorghum bicolor,"USA: Parlier, CA",36.597906,-119.518373
SRR14458754,rhizosphere,38.49574033,0.809276028,PRJNA435634,SAMN19044780,Sorghum bicolor,"USA: Parlier, CA",36.597906,-119.518373
SRR14458755,rhizosphere,29.45507977,0.355922551,PRJNA435634,SAMN19044771,Sorghum bicolor,"USA: Parlier, CA",36.597906,-119.518373
SRR14458756,rhizosphere,33.66402282,0.371105232,PRJNA435634,SAMN19044770,Sorghum bicolor,"USA: Parlier, CA",36.597906,-119.518373
SRR14511838,marine,0.10742245,0.053711225,PRJNA729490,SAMN19118262,marine metagenome,Chile: Comau fjord,-42.47733,-72.43112
SRR14511875,marine,0.132306129,0.155136504,PRJNA729490,SAMN19118228,marine metagenome,Chile: Comau fjord,-42.30682,-72.51469
SRR14511926,marine,0.200567351,0.200567351,PRJNA729490,SAMN19118270,marine metagenome,Chile: Comau fjord,-42.38078,-72.43892
SRR14511928,marine,0.289827973,0.144913987,PRJNA729490,SAMN19118268,marine metagenome,Chile: Comau fjord,-42.38636,-72.45599
SRR14865844,marine,0.171430925,0.18921328,PRJNA739281,SAMN19716612,marine metagenome,China: South China sea,25.47,119.86
SRR15039771,marinesediment,1.407683907,0.011736271,PRJNA743701,SAMN20058460,marine sediment metagenome,Pacific Ocean: Mariana Trench,10.81,141.18
SRR15214113,hotspring,0.247157687,0.353082409,PRJNA748095,SAMN20308266,hot springs metagenome,"Canada:Terrace, Lakelse Hot Spring",54.3583,-128.541133
SRR15373726,rhizosphere,2.432491983,1.700087034,PRJNA751553,SAMN20521043,soil metagenome,"China: Axi township, Sichuan province",33.68,102.93
SRR15373727,rhizosphere,1.382087629,1.438352056,PRJNA751553,SAMN20521042,soil metagenome,"China: Axi township, Sichuan province",33.68,102.93
SRR15373728,rhizosphere,0.538335361,1.548368409,PRJNA751553,SAMN20521041,soil metagenome,"China: Axi township, Sichuan province",33.68,102.93
SRR15400728,wetland,0.280592612,2.613819952,PRJNA752512,SAMN20600050,soil metagenome,"China:the Zoige plateau, Zoige county",33.62,102.87
SRR15400729,wetland,2.931371296,2.175881456,PRJNA752512,SAMN20600049,soil metagenome,"China:the Zoige plateau, Zoige county",33.62,102.87
SRR15400730,wetland,0.494854596,2.085437677,PRJNA752512,SAMN20600048,soil metagenome,"China:the Zoige plateau, Zoige county",33.62,102.87
SRR15400731,wetland,0.980653268,2.204595583,PRJNA752512,SAMN20600047,soil metagenome,"China:the Zoige plateau, Zoige county",33.62,102.87
SRR15400733,wetland,0.607760636,0.783510858,PRJNA752512,SAMN20600054,soil metagenome,"China:the Zoige plateau, Zoige county",33.62,102.87
SRR15400734,wetland,1.46350426,1.039307636,PRJNA752512,SAMN20600053,soil metagenome,"China:the Zoige plateau, Zoige county",33.62,102.87
SRR15400736,wetland,1.405349694,0.747591844,PRJNA752512,SAMN20600051,soil metagenome,"China:the Zoige plateau, Zoige county",33.62,102.87
SRR15495778,wetland,0.109427609,2.904444425,PRJNA338276,SAMN20821175,wetland metagenome,"USA: Ohio, Lake Erie, Old Woman Creek NERR",42.12,-81.12
SRR15530465,marine,38.19292641,0.091282519,PRJNA756323,SAMN20863992,marine metagenome,"Australia: Port Hacking, NSW",-34.116,151.219
SRR15530467,marine,11.2641149,0.097097164,PRJNA756323,SAMN20863990,marine metagenome,"Australia: Port Hacking, NSW",-34.116,151.219
SRR15530468,marine,8.964373439,0.124650977,PRJNA756323,SAMN20863989,marine metagenome,"Australia: Port Hacking, NSW",-34.116,151.219
SRR15530469,marine,5.381032324,0.089261057,PRJNA756323,SAMN20863988,marine metagenome,"Australia: Port Hacking, NSW",-34.116,151.219
SRR15530472,marine,9.427628656,0.211631551,PRJNA756323,SAMN20863985,marine metagenome,"Australia: Port Hacking, NSW",-34.116,151.219
SRR15530473,marine,8.661170467,0.085180082,PRJNA756323,SAMN20863998,marine metagenome,"Australia: Port Hacking, NSW",-34.116,151.219
SRR15530474,marine,33.02633598,0.092818125,PRJNA756323,SAMN20863997,marine metagenome,"Australia: Port Hacking, NSW",-34.116,151.219
SRR15530476,marine,10.95772918,0.08871269,PRJNA756323,SAMN20863995,marine metagenome,"Australia: Port Hacking, NSW",-34.116,151.219
SRR15530477,marine,3.102796144,0.240396058,PRJNA756323,SAMN20863994,marine metagenome,"Australia: Port Hacking, NSW",-34.116,151.219
SRR15530478,marine,3.209669582,0.10880883,PRJNA756323,SAMN20863993,marine metagenome,"Australia: Port Hacking, NSW",-34.116,151.219
SRR15532675,wetland,0.026757215,0.805870054,PRJNA756367,SAMN20864073,wetland metagenome,"USA: Ohio, Lake Erie, Old Woman Creek NERR",41.3778,-82.5108
SRR15532676,wetland,0.048242914,0.774270457,PRJNA756367,SAMN20864073,wetland metagenome,"USA: Ohio, Lake Erie, Old Woman Creek NERR",41.3778,-82.5108
SRR15532677,wetland,0.077650373,0.838777036,PRJNA756367,SAMN20864072,wetland metagenome,"USA: Ohio, Lake Erie, Old Woman Creek NERR",41.3778,-82.5108
SRR15532678,wetland,0.090585535,0.730121445,PRJNA756367,SAMN20864072,wetland metagenome,"USA: Ohio, Lake Erie, Old Woman Creek NERR",41.3778,-82.5108
SRR15532679,wetland,0.175484018,1.631845366,PRJNA756367,SAMN20864071,wetland metagenome,"USA: Ohio, Lake Erie, Old Woman Creek NERR",41.3778,-82.5108
SRR15646751,rhizosphere,9.402525351,2.729788999,PRJNA758121,SAMN21013452,soil metagenome,,25.38,100.41
