Run,BioSample,BioProject,Source,Location,Lat,Lon,Env,MHET_Abundance
ERR5762203,SAMEA8585623,PRJEB44414,soil metagenome,United Kingdom,52.9997,-3.8036,bog,1.102670914
ERR5762204,SAMEA8585624,PRJEB44414,soil metagenome,United Kingdom,52.9997,-3.8036,bog,0.627926543
ERR5762205,SAMEA8585625,PRJEB44414,soil metagenome,United Kingdom,52.9692,-3.8167,bog,1.452343694
ERR5762206,SAMEA8585626,PRJEB44414,soil metagenome,United Kingdom,52.9692,-3.8167,bog,1.749672519
ERR5762212,SAMEA8585632,PRJEB44414,soil metagenome,Argentina,-54.74044,-67.87811,bog,0.577766242
ERR5762226,SAMEA8585646,PRJEB44414,soil metagenome,Morocco,35.2703,-6.0528,bog,3.036742565
ERR5762228,SAMEA8585647,PRJEB44414,soil metagenome,Morocco,35.1866,-5.3622,bog,1.098592207
ERR5762230,SAMEA8585648,PRJEB44414,soil metagenome,Colombia,6.6699,-75.6681,bog,0.798580302
ERR5762236,SAMEA8585650,PRJEB44414,soil metagenome,Colombia,6.6699,-75.6681,bog,0.790004336
ERR5766670,SAMEA8585688,PRJEB44414,soil metagenome,USA,45.582581,-111.661221,bog,4.824236065
ERR5766671,SAMEA8585689,PRJEB44414,soil metagenome,USA,45.582581,-111.661221,bog,7.732924581
ERR5766672,SAMEA8585690,PRJEB44414,soil metagenome,USA,45.582581,-111.661221,bog,4.127045639
ERR5766673,SAMEA8585691,PRJEB44414,soil metagenome,USA,45.524884,-111.018086,bog,3.495040285
ERR5766674,SAMEA8585692,PRJEB44414,soil metagenome,USA,45.524884,-111.018086,bog,4.408174775
ERR5766676,SAMEA8585693,PRJEB44414,soil metagenome,USA,45.524884,-111.018086,bog,4.80451164
ERR5766914,SAMEA8585714,PRJEB44414,soil metagenome,Morocco,35.1866,-5.3622,bog,0.877620673
ERR5766915,SAMEA8585715,PRJEB44414,soil metagenome,Morocco,35.1866,-5.3622,bog,3.938356164
ERR9963793,SAMEA110295447,PRJEB54621,moss metagenome,Iceland,64.1115,-20.561,bog,2.517293348
ERR9963794,SAMEA110295448,PRJEB54621,moss metagenome,,64.1115,-20.561,bog,2.40633984
ERR9963795,SAMEA110295449,PRJEB54621,moss metagenome,,64.1122,-20.5608,bog,1.930288969
SRR10063242,SAMN07732889,PRJNA412936,hot springs metagenome,New Zealand: Raoul Island,-29.26238,-177.919075,hotspring,0.508237686
SRR10067286,SAMN12692075,PRJNA563887,metagenome,India,27.14957,88.18183,hotspring,0.425824176
SRR10072857,SAMN12687857,PRJNA563777,marine sediment metagenome,Singapore,1.471197,103.804527,marinesediment,0.249967355
SRR10072858,SAMN12687857,PRJNA563777,marine sediment metagenome,Singapore,1.471197,103.804527,marinesediment,0.084678894
SRR10072860,SAMN12687859,PRJNA563777,marine sediment metagenome,Singapore,1.4573,103.720583,marinesediment,0.086364771
SRR10095343,SAMN12723038,PRJNA564648,hot springs metagenome,"Canada: Liard River, BC",59.431,-126.1,hotspring,0.433237058
SRR10095344,SAMN12723037,PRJNA564648,hot springs metagenome,"Canada: Liard River, BC",59.431,-126.1,hotspring,3.513362086
SRR10095351,SAMN12723036,PRJNA564648,hot springs metagenome,"Canada: Liard River, BC",59.431,-126.1,hotspring,2.456259525
SRR10095362,SAMN12723035,PRJNA564648,hot springs metagenome,"Canada: Liard River, BC",59.431,-126.1,hotspring,0.37118568
SRR10095373,SAMN12723034,PRJNA564648,hot springs metagenome,"Canada: Liard River, BC",59.431,-126.1,hotspring,0.85104655
SRR10095374,SAMN12723033,PRJNA564648,hot springs metagenome,"Canada: Liard River, BC",59.431,-126.1,hotspring,0.301503448
SRR10097247,SAMN12673456,PRJNA562730,marine sediment metagenome,"New Zealand: Hikurangi Margin, Glendhu Ridge",-41.77033,176.0835,marinesediment,0.138543459
SRR10127267,SAMN05720239,PRJNA340604,plant metagenome,"Guanajuato, Mexico ",21.7658,-100.163,phyllosphere,0.066414598
SRR10127271,SAMN05720237,PRJNA340608,plant metagenome,"Guanajuato, Mexico ",21.7658,-100.163,phyllosphere,1.944750745
SRR10143174,SAMN11533378,PRJNA539159,plant metagenome,USA: Georgia,32.1348,-81.9657,phyllosphere,0.144405234
SRR10143175,SAMN11533377,PRJNA539160,plant metagenome,USA: Georgia,32.1348,-81.9657,phyllosphere,0.265731293
SRR10143422,SAMN11532918,PRJNA539161,plant metagenome,USA: Georgia,32.1348,-81.9657,phyllosphere,1.016502634
SRR10145185,SAMN11532492,PRJNA539164,plant metagenome,USA: Georgia,32.1348,-81.9657,phyllosphere,4.721391174
SRR10156266,SAMN12799097,PRJNA573088,marine sediment metagenome,Antarctica: Wrights Gulf,-73.3,-129.56,marinesediment,0.464560337
SRR10156267,SAMN12799096,PRJNA573088,marine sediment metagenome,Antarctica: Amundsen Sea,-72.46,-104.36,marinesediment,0.328131253
SRR10156268,SAMN12799095,PRJNA573088,marine sediment metagenome,Antarctica: Amundsen Sea,-72.3,-104.3,marinesediment,0.221308932
SRR10156270,SAMN12799093,PRJNA573088,marine sediment metagenome,Antarctica: Bellingshausen Sea,-70.48,-95.2,marinesediment,0.300264608
SRR10156271,SAMN12799103,PRJNA573088,marine sediment metagenome,Antarctica: Near Ross Shelf,-74.4,-168.3,marinesediment,0.366119147
SRR10156273,SAMN12799101,PRJNA573088,marine sediment metagenome,Antarctica: Near Ross Shelf,-76.55,-170,marinesediment,0.316241991
SRR10241523,NA,NA,NA,NA,38.124,176.2564,freshwater,0.153769841
SRR10241528,NA,NA,NA,NA,NA,NA,freshwater,0.070386313
SRR10363839,SAMN12394951,PRJNA557318,soil metagenome,China: landfill cover,22.48,113.57,landfill,2.754553431
SRR10363840,SAMN12394950,PRJNA557318,soil metagenome,China: landfill cover,22.48,113.57,landfill,4.155687186
SRR10363841,SAMN12394949,PRJNA557318,soil metagenome,China: landfill cover,22.48,113.57,landfill,2.039348842
SRR10363842,SAMN12394948,PRJNA557318,soil metagenome,China: landfill cover,22.48,113.57,landfill,2.281910245
SRR10363843,SAMN12394947,PRJNA557318,soil metagenome,China: landfill cover,22.48,113.57,landfill,1.901902727
SRR10363844,SAMN12394946,PRJNA557318,soil metagenome,China: landfill cover,22.48,113.57,landfill,0.795941933
SRR10363845,SAMN12394945,PRJNA557318,soil metagenome,China: landfill cover,22.48,113.57,landfill,1.413595751
SRR10363846,SAMN12394944,PRJNA557318,soil metagenome,China: landfill cover,22.48,113.57,landfill,1.006091326
SRR10363847,SAMN12394956,PRJNA557318,soil metagenome,China: landfill cover,22.48,113.57,landfill,1.685608125
SRR10363848,SAMN12394955,PRJNA557318,soil metagenome,China: landfill cover,22.48,113.57,landfill,1.783456746
SRR10363849,SAMN12394954,PRJNA557318,soil metagenome,China: landfill cover,22.48,113.57,landfill,2.504668079
SRR10363850,SAMN12394953,PRJNA557318,soil metagenome,China: landfill cover,22.48,113.57,landfill,3.1780696
SRR10363851,SAMN12394952,PRJNA557318,soil metagenome,China: landfill cover,22.48,113.57,landfill,2.993094839
SRR10363852,SAMN12394943,PRJNA557318,soil metagenome,China: landfill cover,22.48,113.57,landfill,1.222332592
SRR10363853,SAMN12394942,PRJNA557318,soil metagenome,China: landfill cover,22.48,113.57,landfill,0.125023129
SRR10375098,SAMN12673436,PRJNA562730,marine sediment metagenome,"New Zealand: Hikurangi Margin, Glendhu Ridge",-41.77033,176.0835,marinesediment,0.349738749
SRR10375808,SAMN06264690,PRJNA365341,soil metagenome,"USA:South San Francisco, USA",37.4965,-122.133,wetland,0.234629126
SRR10586133,SAMN13482110,PRJNA593573,compost metagenome,"Singapore: Lim Chu Kang Farm Area, Singapore",1.42,103.7,compost,0.350697604
SRR10586137,SAMN13482098,PRJNA593573,compost metagenome,"Singapore: Lim Chu Kang Farm Area, Singapore",1.42,103.7,compost,2.323496966
SRR10873211,SAMN12793949,PRJNA566934,peat metagenome,"USA: McLean, Ithaca, New York",42.5488,-76.2662,bog,0.128263596
SRR10873265,SAMN12794949,PRJNA568277,peat metagenome,USA: New York,42.5488,-76.2662,bog,0.284987183
SRR10873268,SAMN12793973,PRJNA566937,peat metagenome,"USA: McLean, Ithaca, New York",42.5488,-76.2662,bog,0.601963673
SRR10873274,SAMN12794338,PRJNA566935,peat metagenome,"USA: McLean, Ithaca, New York",42.5488,-76.2662,bog,0.278611853
SRR10873275,SAMN12794096,PRJNA566936,peat metagenome,"USA: McLean, Ithaca, New York",42.5488,-76.2662,bog,0.055551379
SRR10968141,SAMN12794411,PRJNA567119,peat metagenome,USA: Alaska,64.9095,-147.9448,wetland,0.661873142
SRR10968147,SAMN12794342,PRJNA567103,peat metagenome,USA: Alaska,64.9141,-147.8348,wetland,1.933082291
SRR10968148,SAMN12794341,PRJNA567104,peat metagenome,USA: Alaska,64.9142,-147.835,wetland,2.120433781
SRR10968149,SAMN12793968,PRJNA567117,peat metagenome,USA: Alaska,64.9141,-147.8344,wetland,1.694311328
SRR10968150,SAMN12794185,PRJNA567118,peat metagenome,USA: Alaska,64.9123,-147.839,bog,0.421137166
SRR10968150,SAMN12794185,PRJNA567118,peat metagenome,USA: Alaska,64.9123,-147.839,wetland,0.42722819
SRR10968151,SAMN12793952,PRJNA567120,peat metagenome,USA: Alaska,64.9141,-147.8348,wetland,4.200691745
SRR10968153,SAMN12794187,PRJNA567123,peat metagenome,USA: Alaska,64.9141,-147.834,wetland,2.778589574
SRR10968155,SAMN12793951,PRJNA567121,peat metagenome,USA: Alaska,64.9142,-147.835,wetland,5.89078655
SRR10968156,SAMN12793976,PRJNA567122,peat metagenome,USA: Alaska,64.9141,-147.8344,wetland,7.605594703
SRR10968158,SAMN12794090,PRJNA567124,peat metagenome,USA: Alaska,64.9142,-147.8349,wetland,4.535901107
SRR10968168,SAMN12793947,PRJNA567125,peat metagenome,USA: Alaska,64.9144,-147.8354,wetland,1.099781138
SRR10968211,SAMN12794027,PRJNA567022,peat metagenome,USA: Alaska,64.9096,-147.9451,wetland,2.351879548
SRR10968218,SAMN12794181,PRJNA567023,peat metagenome,USA: Alaska,64.9149,-147.8357,wetland,1.260160703
SRR10968219,SAMN12793948,PRJNA567127,peat metagenome,USA: Alaska,64.9141,-147.8344,wetland,3.648774509
SRR10968221,SAMN12794030,PRJNA567126,peat metagenome,USA: Alaska,64.9142,-147.835,wetland,1.305698688
SRR10968222,SAMN12793978,PRJNA567129,peat metagenome,USA: Alaska,64.9142,-147.8349,wetland,2.650793165
SRR10968223,SAMN12794404,PRJNA567017,peat metagenome,USA: Alaska,64.9144,-147.8354,wetland,2.206469335
SRR10968224,SAMN12794095,PRJNA567128,peat metagenome,USA: Alaska,64.9141,-147.834,wetland,3.471194449
SRR10968270,SAMN12794408,PRJNA567018,peat metagenome,USA: Alaska,64.9096,-147.9451,wetland,0.895371283
SRR10968271,SAMN12794337,PRJNA567019,peat metagenome,USA: Alaska,64.9141,-147.8348,wetland,4.638966855
SRR10968272,SAMN12793967,PRJNA566912,peat metagenome,USA: Alaska,64.9141,-147.8344,wetland,4.522831581
SRR10968273,SAMN12794094,PRJNA566911,peat metagenome,USA: Alaska,64.9142,-147.835,wetland,3.293984184
SRR10968274,SAMN12794336,PRJNA566914,peat metagenome,USA: Alaska,64.9142,-147.8349,wetland,2.078064517
SRR10968275,SAMN12793953,PRJNA566915,peat metagenome,USA: Alaska,64.9144,-147.8354,wetland,1.796107159
SRR10968276,SAMN12794091,PRJNA566913,peat metagenome,USA: Alaska,64.9141,-147.834,wetland,5.581976113
SRR10968277,SAMN12794340,PRJNA566916,peat metagenome,USA: Alaska,64.9142,-147.835,wetland,6.026906526
SRR10968278,SAMN12794332,PRJNA566917,peat metagenome,USA: Alaska,64.9142,-147.835,wetland,6.700232657
SRR10968279,SAMN12794186,PRJNA566920,peat metagenome,USA: Alaska,64.9096,-147.9451,wetland,3.419820997
SRR10968280,SAMN12793950,PRJNA566919,peat metagenome,USA: Alaska,64.9141,-147.8344,wetland,3.104335739
SRR10968281,SAMN12793975,PRJNA566918,peat metagenome,USA: Alaska,64.9141,-147.8344,wetland,3.862889898
SRR10968282,SAMN12794267,PRJNA566921,peat metagenome,USA: Alaska,64.9123,-147.839,bog,0.490646361
SRR10968282,SAMN12794267,PRJNA566921,peat metagenome,USA: Alaska,64.9123,-147.839,wetland,0.498158649
SRR10968283,SAMN12794269,PRJNA566922,peat metagenome,USA: Alaska,64.9123,-147.839,bog,0.798613781
SRR10968283,SAMN12794269,PRJNA566922,peat metagenome,USA: Alaska,64.9123,-147.839,wetland,0.81224518
SRR11070432,SAMN12794184,PRJNA567020,peat metagenome,USA: Alaska,64.9123,-147.839,wetland,0.728403051
SRR11070432,SAMN12794184,PRJNA567020,peat metagenome,USA: Alaska,64.9123,-147.839,bog,0.812938303
SRR11086756,SAMN14103087,PRJNA606662,landfill metagenome,"India:New Delhi, Okhla landfill site",28.5626,77.2914,landfill,0.371201585
SRR11108969,SAMN14123628,PRJNA607424,phyllosphere metagenome,France:Reims,49.25,4.033,phyllosphere,2.096496267
SRR11128412,SAMN14124373,PRJNA607213,rhizosphere metagenome,South Africa: MAFIKENG,-25.78,25.61,compost,2.013052709
SRR11271801,SAMN13908148,PRJNA602600,soil metagenome,Chile: Melipeuco,-38.83,-71.65,volcano,1.956833327
SRR11271802,SAMN13908146,PRJNA602600,soil metagenome,Chile: Melipeuco,-38.83,-71.65,volcano,2.31126597
SRR11271803,SAMN13908144,PRJNA602600,soil metagenome,Chile: Melipeuco,-38.57,-71.78,volcano,1.792631689
SRR11271804,SAMN13908142,PRJNA602600,soil metagenome,Chile: Melipeuco,-38.57,-71.78,volcano,0.548529924
SRR11271805,SAMN13908156,PRJNA602600,soil metagenome,Chile: Melipeuco,-38.82,-71.68,volcano,0.585132185
SRR11271808,SAMN13908150,PRJNA602600,soil metagenome,Chile: Melipeuco,-38.83,-71.65,volcano,1.964692483
SRR11271809,SAMN13908140,PRJNA602600,soil metagenome,Chile: Melipeuco,-38.57,-71.78,volcano,0.696227929
SRR11341399,NA,NA,NA,NA,NA,NA,wetland,0.949969544
SRR11343824,SAMN14350117,PRJNA611818,marine sediment metagenome,French Polynesia: Moorea,-17.47417,-149.7834,marinesediment,0.071377092
SRR11343833,SAMN14350203,PRJNA611818,marine sediment metagenome,French Polynesia: Moorea,-17.4808,-149.8014,marinesediment,0.132038697
SRR11343835,SAMN14350202,PRJNA611818,marine sediment metagenome,French Polynesia: Moorea,-17.4808,-149.8014,marinesediment,0.869188705
SRR11400153,SAMN14421548,PRJNA609450,marine sediment metagenome,Greenland: Nuuk fjord,64.26,-52.47,marinesediment,0.166251895
SRR11457943,SAMN14506364,PRJNA622280,hot springs metagenome,New Zealand: Tiger Bath in Tiger Springs area of Ngawha Springs,-35.40752,173.8554535,hotspring,0.143464106
SRR11516662,SAMN14563491,PRJNA623998,air metagenome,China: Shanghai,30.4,120.51,landfill,2.074115044
SRR11516663,SAMN14563490,PRJNA623998,air metagenome,China: Shanghai,30.4,120.51,landfill,1.676870748
SRR11516664,SAMN14563489,PRJNA623998,air metagenome,China: Shanghai,30.4,120.51,landfill,5.326704545
SRR11516665,SAMN14563488,PRJNA623998,air metagenome,China: Shanghai,30.4,120.51,landfill,65.98382749
SRR11516666,SAMN14563487,PRJNA623998,air metagenome,China: Shanghai,30.4,120.51,landfill,3.78550543
SRR11516667,SAMN14563486,PRJNA623998,air metagenome,China: Shanghai,30.4,120.51,landfill,2.281653884
SRR1157609,SAMN02364458,PRJNA221719,soil metagenome,"USA: MN, Marcell Experimental Forest",47.5062,-93.45426667,bog,1.049472637
SRR1157614,SAMN02364454,PRJNA221719,soil metagenome,"USA: MN, Marcell Experimental Forest",47.5062,-93.45426666,bog,3.12208979
SRR1157615,SAMN02364455,PRJNA221719,soil metagenome,"USA: MN, Marcell Experimental Forest",47.50608333,-93.45271666,bog,2.444123491
SRR11582142,SAMN14653520,PRJNA627197,subsurface metagenome,"Costa Rica: flank of Arnal Volcano,",10.4864,-84.6872,volcano,1.848286484
SRR11582156,SAMN14653549,PRJNA627197,subsurface metagenome,"Costa Rica: Recreo Verde deep well, flank of Poas Volcano, 43C",10.321576,-84.243686,volcano,0.410530191
SRR11582165,SAMN14653540,PRJNA627197,subsurface metagenome,"Costa Rica: inside Poas Volcano Crater, near the hyperacidic lake",10.188962,-84.227388,volcano,0.395386847
SRR11582168,SAMN14653538,PRJNA627197,subsurface metagenome,"Costa Rica: Laguna Botos, CO2-fed lake on flank of Poas Volcano,",10.188962,-84.227388,volcano,0.51688005
SRR11582169,SAMN14653537,PRJNA627197,subsurface metagenome,"Costa Rica: Laguna Botos, CO2-fed lake on flank of Poas Volcano,",10.188962,-84.227388,volcano,2.12007943
SRR11668386,SAMN14515341,PRJNA621650,peat metagenome,USA: Alaska,64.9123,-147.839,bog,1.38598401
SRR11668386,SAMN14515341,PRJNA621650,peat metagenome,USA: Alaska,64.9123,-147.839,wetland,1.575223767
SRR11668400,SAMN14515648,PRJNA621651,peat metagenome,USA: Alaska,64.9123,-147.839,wetland,0.362962865
SRR11668400,SAMN14515648,PRJNA621651,peat metagenome,USA: Alaska,64.9123,-147.839,bog,0.357960492
SRR11668419,SAMN14515559,PRJNA621652,peat metagenome,USA: Alaska,64.9123,-147.839,bog,0.641108055
SRR11734617,SAMN14775404,PRJNA629394,sediment metagenome,"China:Guangdong,Shenzhen,Futian Mangrove Nature Reserve,Constructed wetland system",22.53,113.99,wetland,1.812268527
SRR11734618,SAMN14775404,PRJNA629394,sediment metagenome,"China:Guangdong,Shenzhen,Futian Mangrove Nature Reserve,Constructed wetland system",22.53,113.99,wetland,2.054269501
SRR11734633,SAMN14775405,PRJNA629394,sediment metagenome,"China:Guangdong,Shenzhen,Futian Mangrove Nature Reserve,Constructed wetland system",22.53,113.99,wetland,2.456556879
SRR11734634,SAMN14775405,PRJNA629394,sediment metagenome,"China:Guangdong,Shenzhen,Futian Mangrove Nature Reserve,Constructed wetland system",22.53,113.99,wetland,2.718105818
SRR11734648,SAMN14775406,PRJNA629394,sediment metagenome,"China:Guangdong,Shenzhen,Futian Mangrove Nature Reserve,Constructed wetland system",22.53,113.99,wetland,1.71408243
SRR11734649,SAMN14775406,PRJNA629394,sediment metagenome,"China:Guangdong,Shenzhen,Futian Mangrove Nature Reserve,Constructed wetland system",22.53,113.99,wetland,1.504126385
SRR11734659,SAMN14775403,PRJNA629394,sediment metagenome,"China:Guangdong,Shenzhen,Futian Mangrove Nature Reserve,Constructed wetland system",22.53,113.99,wetland,2.198952516
SRR11734660,SAMN14775403,PRJNA629394,sediment metagenome,"China:Guangdong,Shenzhen,Futian Mangrove Nature Reserve,Constructed wetland system",22.53,113.99,wetland,1.693274957
SRR11837213,SAMN14512427,PRJNA618890,wetland metagenome,USA: North Carolina,35.8959,-76.1658,wetland,2.411254273
SRR11837214,SAMN14513307,PRJNA618891,wetland metagenome,USA: North Carolina,35.8956,-76.1658,wetland,1.593896957
SRR11837216,SAMN14513147,PRJNA618892,wetland metagenome,USA: North Carolina,35.8959,-76.1658,wetland,2.34614811
SRR11837300,SAMN14513136,PRJNA618893,wetland metagenome,USA: North Carolina,35.8956,-76.1658,wetland,1.817838157
SRR11837301,SAMN14512290,PRJNA618894,wetland metagenome,USA: North Carolina,35.8956,-76.1655,wetland,1.580264497
SRR11837302,SAMN14512295,PRJNA618895,wetland metagenome,USA: North Carolina,35.8959,-76.1658,wetland,3.271508715
SRR11837370,SAMN14513141,PRJNA618896,wetland metagenome,USA: North Carolina,35.8956,-76.1658,wetland,1.489459637
SRR11837387,SAMN14513304,PRJNA618897,wetland metagenome,USA: North Carolina,35.8959,-76.1658,wetland,1.502601429
SRR11837388,SAMN14512977,PRJNA618898,wetland metagenome,USA: North Carolina,35.8959,-76.1658,wetland,1.300084337
SRR11837389,SAMN14513140,PRJNA618899,wetland metagenome,USA: North Carolina,35.8959,-76.1658,wetland,2.00876219
SRR11837390,SAMN14513134,PRJNA618900,wetland metagenome,USA: North Carolina,35.8956,-76.1658,wetland,1.517566304
SRR11837391,SAMN14512976,PRJNA618901,wetland metagenome,USA: North Carolina,35.8956,-76.1655,wetland,1.752989238
SRR11837428,SAMN14512605,PRJNA618951,wetland metagenome,USA: North Carolina,35.8959,-76.1658,wetland,1.962435745
SRR11837429,SAMN14512604,PRJNA618953,wetland metagenome,USA: North Carolina,35.8956,-76.1655,wetland,1.479962852
SRR11837452,SAMN14512607,PRJNA618952,wetland metagenome,USA: North Carolina,35.8959,-76.1658,wetland,1.638944926
SRR11837453,SAMN14512439,PRJNA618954,wetland metagenome,USA: North Carolina,35.8956,-76.1655,wetland,1.444320529
SRR11837467,SAMN14513135,PRJNA618955,wetland metagenome,USA: North Carolina,35.8956,-76.1658,wetland,1.636549404
SRR11837468,SAMN14512299,PRJNA618956,wetland metagenome,USA: North Carolina,35.8956,-76.1658,wetland,0.740600495
SRR11837469,SAMN14512087,PRJNA618957,wetland metagenome,USA: North Carolina,35.8959,-76.1658,wetland,1.33764235
SRR11837470,SAMN14512965,PRJNA618958,wetland metagenome,USA: North Carolina,35.8959,-76.1658,wetland,1.553357942
SRR11837471,SAMN14512660,PRJNA618959,wetland metagenome,USA: North Carolina,35.8956,-76.1658,wetland,1.572064431
SRR11837712,SAMN14512291,PRJNA618962,wetland metagenome,USA: North Carolina,35.8959,-76.1658,wetland,2.466353486
SRR11837737,SAMN14513301,PRJNA618961,wetland metagenome,USA: North Carolina,35.8959,-76.1658,wetland,2.408118269
